openTimeMs,open,high,low,close,volume,closeTimeMs,quoteAssetVolume,tradeCount,takerBuyBaseVolume,takerBuyQuoteVolume,ignore
1773576000000,71839.41000000,71839.42000000,71263.99000000,71481.24000000,2095.34940000,1773590399999,149835974.09205590,362063,877.38863000,62737042.65968750,0
1773590400000,71481.24000000,71989.93000000,71320.08000000,71549.94000000,1241.12480000,1773604799999,88810069.56801620,346610,689.21644000,49315537.37914770,0
1773604800000,71549.94000000,73199.00000000,71433.75000000,72815.24000000,3561.42914000,1773619199999,258120607.43454450,837141,1930.81832000,139888283.09818140,0
1773619200000,72815.25000000,74330.34000000,72270.41000000,73573.32000000,5313.15699000,1773633599999,389442556.86320910,851589,2873.59784000,210693756.31495410,0
1773633600000,73573.31000000,74451.03000000,73385.18000000,73456.68000000,5517.22506000,1773647999999,407380420.43089480,816177,2937.06504000,216909252.84250850,0
1773648000000,73456.69000000,73838.76000000,72888.80000000,73552.77000000,3812.93394000,1773662399999,279823403.90506240,654796,2034.33880000,149335828.95151510,0
1773662400000,73552.78000000,74509.52000000,72990.52000000,73274.76000000,5744.41989000,1773676799999,423921783.63710360,1376905,2977.38635000,219848582.81794170,0
1773676800000,73274.75000000,74418.60000000,73160.66000000,73963.00000000,4131.80846000,1773691199999,305341632.01297530,998780,2168.34144000,160235394.51516950,0
1773691200000,73963.00000000,74909.08000000,73863.20000000,74884.67000000,3889.98585000,1773705599999,289949714.71561840,698235,2213.49308000,165022343.75739000,0
1773705600000,74884.67000000,76000.00000000,74268.73000000,74463.98000000,6925.21053000,1773719999999,520737829.60524720,1245176,3419.06146000,257294555.50047560,0
1773720000000,74463.98000000,74712.89000000,73784.00000000,74249.32000000,4918.92532000,1773734399999,365111500.75746600,655777,2145.46623000,159265975.81900110,0
1773734400000,74249.32000000,74452.97000000,73560.98000000,74033.11000000,3022.84272000,1773748799999,223632439.17804960,609305,1505.00784000,111360462.49386910,0
1773748800000,74033.10000000,74893.94000000,73399.19000000,73914.39000000,4507.55719000,1773763199999,333551863.39739360,1129605,2350.77152000,174072878.94154860,0
1773763200000,73914.40000000,74800.00000000,73855.24000000,74512.17000000,3050.04683000,1773777599999,226963985.21018740,792455,1614.68959000,120136054.37931140,0
1773777600000,74511.21000000,74799.00000000,73871.74000000,73909.36000000,2096.68377000,1773791999999,155979113.18432940,430869,756.25566000,56266931.64668020,0
1773792000000,73909.37000000,74672.34000000,73535.36000000,74446.14000000,2220.38681000,1773806399999,164555203.62645120,501167,1218.71592000,90349485.29600780,0
1773806400000,74446.14000000,74486.30000000,73700.01000000,73883.80000000,2292.66886000,1773820799999,169807068.80921980,348177,1163.82849000,86215346.31344240,0
1773820800000,73883.80000000,74281.33000000,72800.00000000,72952.85000000,3439.26859000,1773835199999,253148596.00042720,611167,1812.37261000,133476029.28907230,0
1773835200000,72952.85000000,72981.79000000,70857.21000000,71467.82000000,8373.20589000,1773849599999,601714224.50529950,1614193,3763.77338000,270399823.95786940,0
1773849600000,71467.82000000,72000.50000000,70933.85000000,71072.38000000,4336.24884000,1773863999999,309643431.84766610,1057189,2360.16614000,168622006.97545870,0
1773864000000,71072.38000000,71451.22000000,70500.00000000,71246.54000000,2731.10194000,1773878399999,194081314.18867860,602004,1390.31403000,98842790.86540560,0
1773878400000,71246.55000000,71613.79000000,70902.37000000,71215.39000000,2427.94963000,1773892799999,172774544.22392350,493310,1054.75452000,75063758.24495860,0
1773892800000,71215.39000000,71215.39000000,69478.51000000,70191.17000000,4492.82933000,1773907199999,315944786.64566590,759250,1920.54387000,135081798.22547010,0
1773907200000,70191.16000000,70560.91000000,69900.00000000,69952.75000000,3434.17410000,1773921599999,241159078.74053430,674946,1525.20254000,107142450.68325920,0
1773921600000,69952.75000000,70179.53000000,68793.35000000,69412.51000000,6707.39933000,1773935999999,465586723.65648020,1537283,3143.33346000,218250403.35891720,0
1773936000000,69412.52000000,70596.42000000,69122.03000000,70271.99000000,3251.17683000,1773950399999,226961442.62212020,1033823,1898.69010000,132547645.30933170,0
1773950400000,70272.00000000,70695.60000000,69718.23000000,69930.00000000,2051.28897000,1773964799999,144147373.97168830,473914,946.61227000,66548567.46545150,0
1773964800000,69930.01000000,70809.43000000,69837.10000000,70729.92000000,2423.03588000,1773979199999,170470366.12775850,533341,1486.43659000,104579946.64290250,0
1773979200000,70729.93000000,70969.71000000,70160.06000000,70854.66000000,2609.94577000,1773993599999,184334559.94337150,354126,1246.95441000,88100620.60914230,0
1773993600000,70854.66000000,71367.00000000,70218.68000000,70478.71000000,3112.13588000,1774007999999,220272458.96802370,570471,1357.72578000,96143422.40213300,0
1774008000000,70478.71000000,70685.63000000,69480.00000000,69860.09000000,4715.91571000,1774022399999,330065910.18119590,1345284,2079.91485000,145585532.92766730,0
1774022400000,69860.09000000,70190.18000000,69388.00000000,70177.86000000,3079.98123000,1774036799999,215057270.84746790,1042090,1545.01020000,107895500.71527600,0
1774036800000,70177.85000000,70923.75000000,69754.71000000,70510.73000000,2180.15298000,1774051199999,153612274.62085290,524659,1085.37028000,76476914.92969380,0
1774051200000,70510.73000000,70826.00000000,70431.67000000,70657.35000000,1194.32406000,1774065599999,84344171.56468740,290231,587.18616000,41471802.78105770,0
1774065600000,70657.35000000,70879.76000000,70617.05000000,70727.33000000,2717.24630000,1774079999999,192249048.59097710,265408,1418.04211000,100327516.28390700,0
1774080000000,70727.33000000,70753.79000000,70492.02000000,70652.72000000,2045.34328000,1774094399999,144443626.42001700,202462,967.76075000,68345273.91919780,0
1774094400000,70652.73000000,71100.94000000,70453.09000000,70630.02000000,1644.14012000,1774108799999,116387097.37594310,275796,769.14295000,54482217.86414870,0
1774108800000,70630.02000000,70652.64000000,70210.00000000,70396.00000000,1221.39503000,1774123199999,86001896.55720430,206874,594.93039000,41884007.64035100,0
1774123200000,70396.01000000,70516.82000000,68571.42000000,68918.12000000,4574.71871000,1774137599999,319268041.51759510,399315,2042.63077000,142645542.44549250,0
1774137600000,68918.12000000,69588.79000000,68228.50000000,69339.99000000,4148.48971000,1774151999999,286023208.29712100,774466,2149.44470000,148227862.91486750,0
1774152000000,69340.00000000,69526.85000000,68892.93000000,68919.38000000,1759.92655000,1774166399999,121824081.24553700,321261,859.53629000,59513363.79333730,0
1774166400000,68919.37000000,68990.67000000,68110.55000000,68217.95000000,2582.06971000,1774180799999,177221143.16757770,498197,1145.65152000,78636602.66576150,0
1774180800000,68217.94000000,69005.71000000,68199.04000000,68847.96000000,1809.03421000,1774195199999,124289500.17348790,477420,1048.85878000,72054535.68461520,0
1774195200000,68847.97000000,68885.53000000,68145.01000000,68199.93000000,1323.42339000,1774209599999,90732472.05925320,322417,505.87895000,34691553.15536570,0
1774209600000,68199.93000000,68498.40000000,67360.66000000,67859.00000000,3220.84325000,1774223999999,218836070.37672060,875391,1582.95309000,107576170.03788770,0
